text,label_score,label,target_predict,target_predict_label
"We find the optimal θ to be around [1, 20], depending on the specific attributes of interests.",,,1,related
"Our work differ in the way that we include a contrastive loss that measures the similarity between the input embeddings and extractor embeddings, which allows the style extractor to capture more precise text style representations[1, 22].",,,1,related
"the anchor example) by contrasting its positive and negative pairs5, which allows models to improve their capabilities on multiple dimensions, such as scalability [6], generalization ability [58], global and hierarchical local features learning [11] and performance on downstream tasks [10, 61].",,,0,not_related
"In [25], it was shown that differences between contrastive losses are small with a deep projection head.",,,0,not_related
"to be discarded for a better generalization [8, 22, 23, 24, 25].",,,0,not_related
"The RandBit dataset of [25] is also similar, but their goal is to study explicit and controllable competing features.",,,0,not_related
"needs to be discarded for a better generalization [8, 22, 23, 24, 25].",,,0,not_related
"As the primary loss function, we use the normalized temperature-scaled cross-entropy loss (NT-Xent loss) function [27] because minimizing it also guarantees maximizing a lower bound on the mutual information between the input and the representation [41].",,,1,related
Existing contrastive learning methods critically rely on specific data augmentation to favor certain sets of features over others [41].,,,0,not_related
"Furthermore, the work by [27] investigated several intriguing properties of contrastive learning.",,,0,not_related
"This is achieved through the use of contrastive loss functions, either in unsupervised contrastive learning where labels are absent [6,7,12,25,30,40], or in supervised contrastive learning where labels are available [8,22,32, 39].",,,0,not_related
Feature Suppression in Unsupervised CL. Feature suppression has been empirically observed by Tian et al. (2020); Chen et al. (2021); Robinson et al. (2021) but we lack a theoretical formulation of this phenomenon.,,,0,not_related
"Effect of embedding size on feature suppression in MNIST RandBit(Chen et al., 2021).",,,1,related
"Empirically, feature suppression can be observed due to a variety of reasons (Li et al., 2020; Chen et al., 2021; Robinson et al., 2021).",,,0,not_related
"To provide empirical evidence for this, we conduct two sets of experiments:
First, we train 5-layer convolutional networks on the RandomBit dataset with the same setup as in (Chen et al., 2021), but we vary the embedding size (see details in Appendix H).",,,1,related
"First, we train 5-layer convolutional networks on the RandomBit dataset with the same setup as in (Chen et al., 2021), but we vary the embedding size (see details in Appendix H).",,,1,related
"Second, we train ResNet18 (He et al., 2016) on the CIFAR-10/100 RandBit Dataset, constructed similarly to the MNIST RandBit dataset but with images from CIFAR10/100 (Krizhevsky et al., 2009) (see Appendix H.1).",,,1,related
"We empirically examine the impact of the joint loss on MNIST RandBit, CIFAR-100, and CIFAR-100 RandBit.",,,1,related
