text,label_score,label,target_predict,target_predict_label
"Such an alternative training of the potential function and the policy is similar to model-based reinforcement learning algorithms (Luo et al., 2018; Sun et al., 2018; Janner et al., 2019) for monotonic improvement of policies.",,,0,not_related
"For the pre-training objective, we use forward dynamics prediction, as it has been shown to be useful in model-based methods (Janner et al., 2019) and auxiliary loss literature (He et al.",,,1,related
"LatentDiffuser is incorporated into a research trajectory focused on model-based reinforcement learning (RL) (Sutton, 1990; Janner et al., 2019; Schrittwieser et al., 2020; Lu et al., 2021; Eysenbach et al., 2022; Suh et al., 2023), as it makes decisions by forecasting future outcomes.",,,0,not_related
• Official codes distributed from the paper [24]: to build PMT-G.,,,1,related
"[24] Michael Janner, Justin Fu, Marvin Zhang, and Sergey Levine.",,,0,not_related
MBPO is the state-of-the-art model-based policy optimization [24].,,,0,not_related
"Existing methods for non-stationary environments can be grouped into three schools of thought: 1) shoehorning: directly using established frameworks for stationary MDPs, assuming no extra mechanisms are needed since non-stationarity already exists in standard RL due to policy updates; 2) model-based policy updates: updating models with new data, using short rollouts to prevent model exploitation [24, 29], online model updates, or through latent factor identification [4, 13–16]; and 3) anticipating future changes by forecasting policy gradients or value functions [7, 30, 20, 10, 31].",,,0,not_related
"Hence, a handful of Dyna-style methods proposed to simulate multi-step rollouts by using such ensemble models, such as SLBO [28] and MBPO [16].",,,0,not_related
[16] has been systematically explained that inaccuracies in learned models make long rollouts unreliable due to the compounding error.,,,0,not_related
"A bootstrapped ensemble of dynamics models is constructed to approximate the true transition dynamics of environment: f(st+1|st, at), which has been demonstrated in several studies [5, 20, 16, 36, 43, 44].",,,0,not_related
"A key issue in model learning is model bias, which refers to the error between the model and the real environment [19].",,,0,not_related
"Hence, we are inclined to propose a generic algorithm similar to [23, 19, 20] that can be plugged into many SOTA MFRL algorithms [14, 27], rather than just proposing for a specific policy optimization algorithm.",,,1,related
"In MFRL, methods such as TRPO [39] and CPI [21] choose to optimize the performance difference bound, whilst most of the previous work in MBRL [29, 19, 50, 36, 23] choose to optimize the difference of expected return under the model and that of the real environment, which is termed return discrepancy.",,,0,not_related
"By minimizing this optimization objective after the model update via maximum likelihood estimation (MLE) [6, 19], we can tune the model to adaptively find appropriate updates to get a performance improvement guarantee.",,,1,related
"On the contrary, model-based RL (MBRL) algorithms, using a world model to generate the imaginary rollouts and then taking them for policy optimization [29, 19], have high sample efficiency while achieving similar asymptotic performance, thus becoming a compelling alternative in practical cases [37, 15, 49].",,,0,not_related
"Phase 1 uses traditional MLE loss to train the model, which may impair the performance by excessive model updates due to only considering the impacts of model bias.",,,0,not_related
"In phase 1, the ensemble models are trained on shared but differently shuffled data, where the optimization objective is MLE [6, 19].",,,0,not_related
We follow the previous work [19] to use the combination of the ensemble model technique with short model rollouts to mitigate the compounding error.,,,1,related
"While having achieved comparable results, they only account for model bias in one iteration [19] but do not consider the impacts of model shift between two iterations [20], which can lead to performance deterioration due to excessive model updates.",,,0,not_related
"The performance difference bound can be decomposed into three terms, V π2|M2 − V π1|M1 = (V π2|M2 − V π2 M2)− (V π1|M1 − V π1 M1) + (V π2 M2 − V π1 M1) (5) Obviously, compared to directly optimizing the return discrepancy of each iteration [19], the performance difference bound chooses to optimize the return discrepancy of two adjacent iterations, namely V π2|M2 − V π2 M2 and V π1|M1 − V π1 M1 respectively, and the expected return variation between these two iterations, namely V π2 M2 − V π1 M1 , demonstrating better rigorousness.",,,0,not_related
"The uncertainty estimation techniques are used to adjust the rollout length [19, 28] or the transition weight [18, 36].",,,0,not_related
"Many prior methods [29, 19, 50, 36, 23] rely on return discrepancy to obtain model updates with a performance improvement guarantee.",,,0,not_related
An ensemble of probabilistic networks [97] was utilized by the MBPO method [98] to deal with the two sources of the dynamics model error.,,,0,not_related
