text,label_score,label,target_predict,target_predict_label
"Surpassing GANs in image generation quality [41; 100] and exhibiting good mode coverage, they are becoming a popular choice for high-fidelity image generation and restoration tasks.",,,0,not_related
"Different from the Medical Image Analysis area, GAN-based GDA networks are still the main methods in Agricultural Image Analysis as even the emergence of GANs in this area can be dated to recent years[211].",,,0,not_related
"For a visual perspective on GAN’s intricate structure, one may refer to the top section of Figure 2.",,,0,not_related
"Takezaki, Kishida et al.[254] get the classification accuracy for heart sound improved by 1% with Synthetic Spectrogram-based GANs(SSG).",,,0,not_related
"Unlike conventional approaches, GANs are designed to generate samples directly from the desired data distribution, bypassing the need to explicitly model the underlying probability density function.",,,0,not_related
"Nevertheless, VAEs tend to generate samples of lower visual quality compared to GANs.",,,0,not_related
• Generative Adversarial Networks: GANs are known for rapidly producing high-quality samples.,,,0,not_related
"Lu, Chen et al. reviewed the application of GANs in agriculture in September 2022.",,,0,not_related
"Salvador, Javier et al. apply evolutionary conditional GANs to generate grape berry cluster images.",,,0,not_related
"Furthermore, [107] tapped into the potential of GANs to create synthetic data augmentations for medical images, exemplifying the versatility of generative models in diverse imaging contexts.",,,0,not_related
"Diffusion models achieved the best trade-off between sample fidelity and diversity and obtained the highest Fréchet Inception Distance, compared to GANs[232].",,,0,not_related
"However, the types of GANs used are similar and the tasks are narrow, though it seems that GANs have achieved success in many precise tasks.",,,0,not_related
GANs generate high-quality samples across the use of discriminators.,,,0,not_related
"Esteban et al. adopted recurrent conditional GANs for the generation of realvalued medical time series data, underscoring the significance of generative models in healthcare applications [106].",,,0,not_related
"From the conventional VAEs[16; 17; 18; 19; 20; 21] and GANs[22; 23; 24; 25; 26; 27; 28; 29; 30] to the burgeoning GPT-based[31; 32; 33; 34; 35; 36; 37; 38; 39; 40] and diffusionbased innovations[41; 42; 43; 44; 45; 46; 47], we elucidate their mechanisms, pros, cons, and use-case scenarios.",,,0,not_related
"While GANSpace was shown to extract interpretable controls for image generation, similar PCA-based techniques are also used in the audio domain to identify the most informative parts of the latent space, without necessarily providing interpretability [10].",,,0,not_related
"In other words, GANSpace enabled to reduce dimensionality of our trained WaveGAN from a 10-to a three-dimensional latent space, while preserving 75% of its learned representation. that continuously changing one latent parameter triggers a continuous morphing between generated breathing waveforms.",,,0,not_related
"GANSpace enables to reduce dimensionality of a latent space by applying principal component analysis (PCA) at one given network layer of a GAN, then using the first few components as latent parameters for generation.",,,0,not_related
"Technically speaking, we implemented and applied the GANSpace algorithm at each of the five layers of our trained WaveGAN.",,,1,related
The first and fourth authors first searched to reduce dimensionality of our deep generative model by implementing GANSpace [27].,,,0,not_related
"After training, dimensionality of latent spaces can be reduced using generic algorithms such as principal component analysis [10, 27].",,,0,not_related
"On the left panel, we put three sliders which we respectively connected to the three latent parameters computed with GANSpace.",,,1,related
"Following that, a large number of works [6], [8], [26], [27], [28], [29], [30], [31], [32] have shown that the latent spaces of GANs contain rich semantic knowledge of image attributes and can be used to edit images via arithmetic of attribute vectors in latent spaces.",,,0,not_related
"More recently, the authors of GANSpace [31] conducted unsupervised Principal Component Analysis (PCA) on the latent space, and then applied principal directions to achieve interpretable control over the output images.",,,0,not_related
"Following infoGAN, many attempts have been made to facilitate the discovery of semantically meaningful traversal directions through regularization [33, 42, 89, 34, 100, 66, 77, 90, 98, 84, 99, 78, 62].",,,0,not_related
"On the other hand, other methods [10, 11, 15, 23, 42] resort to latent space manipulation [9, 34].",,,0,not_related
"By properly exploiting their latent structure, prior works succeeded in image editing [33, 79, 80, 81, 82, 83, 84], semantic control [55, 56, 85], disentangled control direction discovery [86, 87, 88, 89], etc.",,,0,not_related
"1 [10] Erik Härkönen, Aaron Hertzmann, Jaakko Lehtinen, and Sylvain Paris.",,,0,not_related
"Latent Space Manipulation GANs allow the generation of images that are controlled by semantic directions [19, 14, 17, 25, 23, 10].",,,0,not_related
The identification of latent directions based on the principal component analysis (PCA) was proposed in [10].,,,0,not_related
"In particular, in the work [10] authors proposed estimating the subspaces that are invariant under random-walk diffusion for identification.",,,0,not_related
"Additional qualitative comparisons for editing We conducted additional comparative experiments of the proposed WRanGAN approach and the PTI inversion method for the StyleGAN 2 model in two domains: the FFHQ domain, with semantic directions corresponding to binary image attributes [23], and the LSUN Church domain, with the first 4 vectors obtained by PCA approach [10].",,,1,related
"Moreover, several works [19, 14, 17, 25, 23, 10] have demonstrated that GANs possess a wide range of interpretable semantics, providing the basis for image editing.",,,0,not_related
"2014) have led to a wide range of applications, including image manipulation (Voynov and Babenko 2020; Shen et al. 2020; Härkönen et al. 2020), domain translation (Isola et al.",,,0,not_related
"Algorithms in the image domain [9], [10], statistically",,,0,not_related
"In computer vision, algorithms such as [9], [10], [48], [49], [50], [51] leverage StyleGANs ability to disentangle the latent space to find directional vectors for editing semantics",,,0,not_related
"Exploring meaningful directions in the latent space: The methods proposed in [12, 16, 17] aim to discover directions in the latent representations such that moving on these directions yields humanly interpretable image transformations such as a change in aging, gender, hairstyle, lighting and etc.",,,0,not_related
"GANSpace [3] and InterFaceGAN [4], etc.",,,0,not_related
"where − →n denotes the semantic direction acquired by arbitrary semantic editing techniques [23, 24, 5, 42, 41].",,,0,not_related
"It is evidenced that the latent space of a well-trained GAN is semantically organized, and shifting the latent code along with a specific direction results in the manipulation of a corresponding attribute [23, 24, 5, 19, 45, 32].",,,0,not_related
"There have also been many efforts to manipulate latent codes for spatial editing [2, 13, 17, 18, 22, 35, 45, 46, 48, 49, 55], such as object movement, rotation, and zooming.",,,0,not_related
"Different methods have been developed, including PCA analysis to extract important latent directions [28], semantic analysis to control various attributes [29], and composing a new latent vector to control multiple attributes [30].",,,0,not_related
"Many works have chosen to extend StyleGAN2 including [28, 48, 50, 52] thus allowing many possible applications including image editing with SeFa [50].",,,0,not_related
"Numerous works have explored this disentanglement latent space to identify semantic directions in a supervised [4, 14, 36], unsupervised [15, 37, 41] or self-supervised [19, 32] manner.",,,0,not_related
"GANSpace [24] uses principal component analysis (PCA) in the feature space to identify the important latent directions, which represent the interpretable variations.",,,0,not_related
"2020], or in an unsupervised manner [Härkönen et al. 2020; Shen and Zhou 2021; Voynov and Babenko 2020].",,,0,not_related
"Recent works [Härkönen et al. 2020; Shen et al. 2020] have demonstrated that StyleGAN learns disentangled attributes, making it possible to find directions in its latent space to generate images that possess such desired attributes.",,,0,not_related
"Recent works [Härkönen et al. 2020; Shen et al. 2020] have demonstrated that StyleGAN learns disentangled attributes, making it possible to ind directions in its latent space to generate images that possess such desired attributes.",,,0,not_related
"Such a direction can be found by either using explicit supervision of image attribute annotations [Abdal et al. 2021; Shen et al. 2020; Wu et al. 2020], or in an unsupervised manner [Härkönen et al. 2020; Shen and Zhou 2021; Voynov and Babenko 2020].",,,1,related
"Recently, lots of methods explore disentangling the latent space to achieve image editing by moving the latent code in the identified interpretable directions [7, 3, 22, 49, 18, 58, 71, 50, 19, 43, 56, 59, 57, 32, 57, 33, 62, 23, 46, 9, 55, 53].",,,0,not_related
"Previous latent semantics discovery approaches [15, 58, 18, 49, 50] consider the GAN manipulation as edit(G(z))=G(z + αn) where G(·) represents the generator, z∈R denotes the latent code of dimension d, n∈R is the identified semantically meaningful direction, and α represents the perturbation strength.",,,0,not_related
GANSpace [14] and SeFa [35] find editing directions from the principal components of the latent space.,,,0,not_related
"Unsupervised methods [2,14,35,40] are to discover the interpretable directions using PCA [14,35] or texts [2].",,,0,not_related
"Previous literature [2, 14, 34, 35, 41] usually edits the facial attribute ai by linear interpolation in the latent space with certain editing directions nai ∈ R(512), which can be formulated as follows:",,,0,not_related
"In this paper, we study an adaptive nonlinear transformation rather than linear interpolation in [2,14,25,34,35,40,41], and investigate a density regularization to encourage indistribution latent transformation.",,,0,not_related
"nai can be learned by training a hyperplane/fully-connected layers in the latent space [34, 41], or discovered from the principal components [14, 35] and text information [2].",,,0,not_related
"Differently, the unsupervised methods [1,2,9,14,20,35,37] do not need the valuable annotated data.",,,1,related
"In particular, the pre-trained StyleGAN generator presents a meaningful intermediate latent space, traversing on which the faces can be semantically manipulated [2, 3, 14, 34, 35, 38, 40, 41].",,,0,not_related
"tions in the latent space of GANs [23], [24].",,,0,not_related
One line of works find semantic controls in the generator’s latent space which enable controlled synthesis and image editing pipelines [Abdal et al. 2020; Härkönen et al. 2020; Patashnik et al. 2021; Shen et al. 2020; Shen and Zhou 2020; Voynov and Babenko 2020].,,,0,not_related
GANSpace [11] utilized Principal Component Analysis (PCA) applied on the feature space of pretrained GANs to create interpretable controls for image synthesis.,,,0,not_related
"Similar to GANSpace [11], InterFaceGAN [25] proposed a framework for semantic face editing.",,,0,not_related
"However, these approaches, GANSpace [11] and InterFaceGAN [25], mainly relied on human labels or attribute classifiers for visual attribute manipulation without any restriction on identity information.",,,0,not_related
"After that, many StyleGAN-based methods have been proposed for controllable face generation [9]–[11].",,,0,not_related
Our method can be adapted to use other editing methods like InterfaceGAN [40] and GANSpace [20].,,,1,related
