text,label_score,label,target_predict,target_predict_label
"Further, [23] studied transfer learning with winning tickets, [24] explored the generalization of lottery ticket initializations for efficient downstream adaptation, and [25] proposed inducing adversarial robustness within the transfer learning pipeline as a means of improving transferability.",,,0,not_related
[5] [33] pooled all layers together and determined pruning thresholds for different layers in an integrated fashion.,,,0,not_related
"Given non-standardized adoption of CNN models for experimentations in post-training pruning works, we examined as most models as appeared in various literature and add those as baselines in our comparison, including Global [33], Uniform [45], Uniform+ [13], LAMP [25], ER ker.",,,1,related
[109] find OneTicket that can generalize across a variety of datasets and optimizers within the natural image domain.,,,0,not_related
"[109] observe that for image classification, winning tickets generated on larger datasets (such as bigger training set size and/or more number of classes) consistently transferred better than those generated with smaller datasets.",,,0,not_related
"However, this kind of method is not friendly to those significant weights whose importance is not immediately apparent at the beginning [109].",,,0,not_related
"(2) Some literature ([67, 109, 110, 111]) studies the transferability of a winning ticket found in a source dataset to another dataset, which provides insights into the transferability of LTH.",,,0,not_related
"Work by Morcos et al.[18] has already shown that for certain tasks such as computer vision, winning tickets can be transferred across different tasks/models.",,,0,not_related
"In fact, transferability of winning lottery tickets has been shown in several fields [16],[17],[18] including across networks with different architectures [19].",,,0,not_related
"Inspired by [47], we conduct experiments to study the transferability of FSTs.",,,1,related
"This is because FSTs drawn from large datasets are less likely to suffer from overfitting, which is consitent with [47].",,,0,not_related
"Given the fact that CNN models are generally overparameterized, many works [11, 37, 39, 50] have demonstrated a sparse sub-network can still reach the accuracy comparable to the original dense network and many channels in each layer can be taken away without harming the performance.",,,0,not_related
We take inspiration by the work of Morcos et al. (2019) and re-train sparse initializations generated for one task-ES configuration on a different setting with a shared network architecture.,,,1,related
"Specifically, it has been shown that the winning ticket can be transferred between datasets and tasks [19, 47, 13, 57].",,,0,not_related
"Other works demonstrated the generality of the winning ticket and showed that a single pruned network can be transferred across datasets and achieve good performance after fine-tuning [19, 47, 13] and even that LT can be used for non-natural datasets [57].",,,0,not_related
Another study [13] conducted experiments to demonstrate,,,0,not_related
"In the natural image domain, Morcos et al. (2019) finds that the winning ticket initializations generalize across a variety of vision benchmark datasets.",,,0,not_related
"1) Experiment Setup: To answer the RQ3, we select 4 state-of-the-art model compression techniques proposed in the last two years (i.e., LAMP [30], Global [31], Uniform+ [32] and ERK [33]) to see whether our DeepArc framework can speed up the model compression efficiency.",,,1,related
", LAMP [30], Global [31], Uniform+ [32] and ERK [33]) to see whether our DeepArc framework can speed up the model compression efficiency.",,,0,not_related
"In the field of transferring sparse pretrained models, several works have explored the effect of different unstructured pruning techniques during pretraining on transfer performance (Mehta, 2019; Morcos et al., 2019; Paganini & Forde, 2020b; Sabatelli et al., 2020; Sun et al., 2022; Liu et al., 2022).",,,0,not_related
"…the field of transferring sparse pretrained models, several works have explored the effect of different unstructured pruning techniques during pretraining on transfer performance (Mehta, 2019; Morcos et al., 2019; Paganini & Forde, 2020b; Sabatelli et al., 2020; Sun et al., 2022; Liu et al., 2022).",,,0,not_related
"For example, there have been many attempts at pruning convolutional neural networks (CNNs) which include the original paper on lottery tickets itself [6] (80–90% prune rate), a generalized approach [7] to prune across many vision datasets (such as MNIST, SVHN, CIFAR-10/100, ImageNet, and Places365), and an object detection variant [8] pruned up to 80%.",,,0,not_related
